transaction_id,date,customer_id,product_id,quantity,unit_price,total_amount,region,payment_method
TXN001,2024-11-16,CUST001,PROD101,2,29.99,59.98,US-EAST,credit_card
TXN002,2024-11-16,CUST002,PROD102,1,49.99,49.99,US-WEST,paypal
TXN003,2024-11-16,CUST003,PROD103,5,9.99,49.95,EU-WEST,debit_card
TXN004,2024-11-16,CUST001,PROD101,1,29.99,29.99,US-EAST,credit_card
TXN005,2024-11-16,CUST004,PROD104,3,19.99,59.97,AP-SOUTH,credit_card
TXN006,2024-11-16,CUST005,PROD105,2,39.99,79.98,US-WEST,paypal
TXN007,2024-11-16,CUST006,PROD101,4,29.99,119.96,EU-WEST,debit_card
TXN008,2024-11-16,CUST007,PROD106,1,99.99,99.99,US-EAST,credit_card
TXN009,2024-11-16,CUST008,PROD107,2,15.99,31.98,AP-SOUTH,paypal
TXN010,2024-11-16,CUST009,PROD108,1,129.99,129.99,US-WEST,credit_card
TXN011,2024-11-16,CUST010,PROD101,3,29.99,89.97,US-EAST,credit_card
TXN012,2024-11-16,CUST002,PROD109,2,79.99,159.98,US-WEST,debit_card
TXN013,2024-11-16,CUST011,PROD110,1,199.99,199.99,EU-WEST,credit_card
TXN014,2024-11-16,CUST012,PROD103,4,9.99,39.96,AP-SOUTH,paypal
TXN015,2024-11-16,CUST001,PROD111,2,34.99,69.98,US-EAST,credit_card
